"Account Number","Suite","House Number","Street Name","Neighbourhood ID","Neighbourhood","Ward","Assessed Value","Tax Class","Garage","Assessment Class 1","Assessment Class 2","Assessment Class 3","Assessment Class % 1","Assessment Class % 2","Assessment Class % 3","Latitude","Longitude","Point Location"
"4058285",,"900","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058293",,"902","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058319",,"904","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058327",,"906","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058335",,"908","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058343",,"910","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058350",,"912","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058368",,"914","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","158000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058376",,"916","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","144500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058384",,"918","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","166000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058392",,"920","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058418",,"922","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","148500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058426",,"924","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","145500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058434",,"926","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","164000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058442",,"928","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","145500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058459",,"930","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","164000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058467",,"932","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","148500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058475",,"919","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058483",,"917","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058491",,"915","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058517",,"913","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","151000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058525",,"911","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","148500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058533",,"909","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058541",,"907","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058558",,"905","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058566",,"903","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058574",,"901","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058582",,"899","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058590",,"897","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058616",,"895","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058624",,"893","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058632",,"891","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058640",,"889","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","155000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058657",,"887","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058665",,"885","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058673",,"883","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058681",,"881","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058699",,"879","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058715",,"877","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058723",,"875","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058731",,"873","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058749",,"750","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058756",,"752","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058764",,"754","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058772",,"756","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058780",,"758","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","144500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058798",,"760","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058814",,"762","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058822",,"764","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","151000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058830",,"766","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","176000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058848",,"768","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058855",,"770","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","166000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058863",,"772","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058871",,"774","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","165000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058889",,"784","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","152500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058897",,"786","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058913",,"788","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058921",,"790","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058939",,"792","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058947",,"794","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","144500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058954",,"796","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","165000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058962",,"798","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058970",,"800","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058988",,"802","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058996",,"804","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059010",,"806","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059028",,"808","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","151000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059036",,"805","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","148500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059044",,"803","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059051",,"801","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","158000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059069",,"799","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","170500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059077",,"797","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","163500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059085",,"795","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059093",,"793","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059119",,"791","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059127",,"789","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059135",,"771","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","152500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059143",,"769","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059150",,"767","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059168",,"765","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059176",,"763","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059184",,"761","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059192",,"759","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059218",,"757","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059226",,"755","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059234",,"753","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059242",,"751","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","152500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059259",,"674","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","160500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059267",,"676","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059275",,"678","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059283",,"680","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059291",,"682","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059317",,"684","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059325",,"686","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","154500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059333",,"688","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059341",,"690","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","159500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059358",,"692","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059366",,"694","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059374",,"696","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059382",,"700","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059390",,"702","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","156500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059416",,"704","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","166000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059424",,"706","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059432",,"708","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059440",,"710","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4059457",,"712","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
